id;curet_rate;target_rate;curent_rate_pesent;target_rate_pesent;unbilibli_day_1;url_cv;activity_before_date
1;8140;5325;4283;23509;4209;withdrawal Oriental;2023-07-21T06:42:37
2;7135;9520;10227;20163;26327;Electric;2023-07-20T13:35:38
3;7733;3028;17326;20682;24241;Concrete model Representative;2023-07-20T08:26:14
4;29551;14671;10242;8840;11046;mammoth Nissan female;2023-07-20T22:36:25
5;3743;9612;23945;3252;16081;Cotton Tools;2023-07-21T01:50:13
6;23630;26244;9629;29176;7299;Fitness;2023-07-20T13:29:00
7;17861;5520;26684;15788;31740;Northwest;2023-07-20T08:53:18
8;10165;24011;19495;22618;18992;Account;2023-07-20T13:01:45
9;21345;3854;25010;31349;6702;male Specialist;2023-07-20T09:37:44
10;30037;15136;16639;6016;18172;deposit;2023-07-20T17:36:51
